line	name_da	qty	unit_price	line_total
1	CLASSICO KIDNEY BØNNER	11	22.95	252.45
2	RABAT			-111.98
3	GESTUS RED KIDNEY BEANS	16	10.95	175.20
4	RABAT			-31.20
5	GESTUS SKRABÆG M/L	5	31.95	159.75
6	RABAT			-34.75
7	KAROLINES REVET TEX MEX	4	24.95	99.80
8	RABAT			-51.80
9	KYLLING INDERFILET	5	199.95	999.75
10	RABAT			-200.00
11	GB RED KIDNEY BEANS ØKO	11	8.95	98.45
12	GB LIME SAFT ØKO 250 ML			19.95
13	MARK SVAMPE 400 G	6	25.00	150.00
14	ÆBLER 6 STK	5	28.00	140.00
15	ØKO-FENNIKEL STK	3	22.00	66.00
16	GB SESAMFRØ ØKO			22.95
17	GRØN BALANCE FINE ÆRTER ØKO			13.95
18	SQUASH	5	12.00	60.00
19	RØDKÅL STK	8	22.00	176.00
20	FORÅRSLØG	7	10.00	70.00
21	DILD 1 PT			14.00
22	ØKO-DILD 1 PT	2	22.00	44.00
23	SILKLINE DAILY JUMBO RULLE	4	35.95	143.80
24	GB KOKOSMÆLK 17-19% ØKO	3	19.95	59.85
25	PANDA EXPRESSEN KOKOSMÆLK 5-7%	3	8.95	26.85
26	KIKKOMAN SOJASAUCE	4	69.95	279.80
27	BD SESAMOLIE	4	44.95	179.80
28	SPICEFIELD RIS VINEDDIKE	2	22.95	45.90
29	ØKO-GULERØDDER 1 KG	2	18.00	36.00
30	GULERØDDER I BK			18.00
31	ICEBERG STK	4	12.00	48.00
32	FIRST PRICE CREMEFRAICHE 18%			19.95
33	SPICEFIELD CURRY PASTE	6	14.95	89.70
34	SPICEFIELD NUDLER UDEN ÆG	26	7.07	183.82
35	ØKO REVET GULEROD			10.00
36	GRØNT			20.00
